holiday,temp,rain_1h,snow_1h,Year,Month,Day,Hour,weather_main,weather_description,traffic_volume
5,263.49,0.0,0,2013,1,1,0,1,2,1439
6,263.78,0.0,0,2013,1,1,1,1,22,1502
6,264.16,0.0,0,2013,1,1,2,7,10,933
6,263.95,0.0,0,2013,1,1,3,1,18,576
6,263.65,0.0,0,2013,1,1,4,1,18,372
6,262.4,0.0,0,2013,1,1,5,7,10,419
6,261.42,0.0,0,2013,1,1,6,1,4,640
6,260.66,0.0,0,2013,1,1,7,0,24,745
6,260.29,0.0,0,2013,1,1,8,1,4,939
6,260.19,0.0,0,2013,1,1,9,1,4,1243
6,260.19,0.0,0,2013,1,1,10,0,24,1747
6,260.49,0.0,0,2013,1,1,11,1,4,2291
6,261.1,0.0,0,2013,1,1,12,1,4,2588
6,261.55,0.0,0,2013,1,1,13,1,4,2927
6,261.65,0.0,0,2013,1,1,14,1,4,3012
6,261.54,0.0,0,2013,1,1,15,0,24,3121
6,260.53,0.0,0,2013,1,1,16,1,4,2864
6,259.17,0.0,0,2013,1,1,17,1,4,2606
6,258.5,0.0,0,2013,1,1,18,0,24,2298
6,257.39,0.0,0,2013,1,1,19,0,24,2154
6,256.66,0.0,0,2013,1,1,20,0,24,1732
6,255.99,0.0,0,2013,1,1,21,0,24,1589
6,255.13,0.0,0,2013,1,1,22,0,24,1235
6,254.48,0.0,0,2013,1,1,23,0,24,845
6,254.39,0.0,0,2013,1,2,0,0,24,437
6,253.89,0.0,0,2013,1,2,1,0,24,295
6,252.98,0.0,0,2013,1,2,2,5,16,243
6,252.58,0.0,0,2013,1,2,3,0,24,293
6,252.14,0.0,0,2013,1,2,4,0,24,717
6,250.7,0.0,0,2013,1,2,5,0,24,2353
6,250.32,0.0,0,2013,1,2,6,0,24,5366
6,251.1,0.0,0,2013,1,2,7,0,24,5829
6,251.87,0.0,0,2013,1,2,8,1,4,5110
6,252.84,0.0,0,2013,1,2,9,4,7,4417
6,255.38,0.0,0,2013,1,2,10,4,7,3892
6,257.41,0.0,0,2013,1,2,11,7,10,4100
6,259.46,0.0,0,2013,1,2,12,1,18,4383
6,260.62,0.0,0,2013,1,2,13,1,18,4370
6,261.13,0.0,0,2013,1,2,14,7,10,4661
6,261.61,0.0,0,2013,1,2,15,7,10,4836
6,261.61,0.0,0,2013,1,2,15,5,16,4836
6,262.18,0.0,0,2013,1,2,16,7,10,5597
6,262.18,0.0,0,2013,1,2,16,4,7,5597
6,262.54,0.0,0,2013,1,2,17,7,10,5191
6,262.54,0.0,0,2013,1,2,17,4,7,5191
6,263.31,0.0,0,2013,1,2,18,7,10,3756
6,264.13,0.0,0,2013,1,2,19,1,18,2687
6,264.62,0.0,0,2013,1,2,20,1,18,2240
6,265.29,0.0,0,2013,1,2,21,1,18,1828
