holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
New Years Day,263.49,0,0,58,Clouds,broken clouds,2013-01-01 00:00:00,1439
None,263.78,0,0,40,Clouds,scattered clouds,2013-01-01 01:00:00,1502
None,264.16,0,0,75,Snow,heavy snow,2013-01-01 02:00:00,933
None,263.95,0,0,90,Clouds,overcast clouds,2013-01-01 03:00:00,576
None,263.65,0,0,90,Clouds,overcast clouds,2013-01-01 04:00:00,372
None,262.4,0,0,40,Snow,heavy snow,2013-01-01 05:00:00,419
None,261.42,0,0,20,Clouds,few clouds,2013-01-01 06:00:00,640
None,260.66,0,0,1,Clear,sky is clear,2013-01-01 07:00:00,745
None,260.29,0,0,20,Clouds,few clouds,2013-01-01 08:00:00,939
None,260.19,0,0,20,Clouds,few clouds,2013-01-01 09:00:00,1243
None,260.19,0,0,1,Clear,sky is clear,2013-01-01 10:00:00,1747
None,260.49,0,0,20,Clouds,few clouds,2013-01-01 11:00:00,2291
None,261.1,0,0,20,Clouds,few clouds,2013-01-01 12:00:00,2588
None,261.55,0,0,20,Clouds,few clouds,2013-01-01 13:00:00,2927
None,261.65,0,0,20,Clouds,few clouds,2013-01-01 14:00:00,3012
None,261.54,0,0,1,Clear,sky is clear,2013-01-01 15:00:00,3121
None,260.53,0,0,20,Clouds,few clouds,2013-01-01 16:00:00,2864
None,259.17,0,0,20,Clouds,few clouds,2013-01-01 17:00:00,2606
None,258.5,0,0,1,Clear,sky is clear,2013-01-01 18:00:00,2298
None,257.39,0,0,1,Clear,sky is clear,2013-01-01 19:00:00,2154
None,256.66,0,0,1,Clear,sky is clear,2013-01-01 20:00:00,1732
None,255.99,0,0,1,Clear,sky is clear,2013-01-01 21:00:00,1589
None,255.13,0,0,1,Clear,sky is clear,2013-01-01 22:00:00,1235
None,254.48,0,0,1,Clear,sky is clear,2013-01-01 23:00:00,845
None,254.39,0,0,1,Clear,sky is clear,2013-01-02 00:00:00,437
None,253.89,0,0,1,Clear,sky is clear,2013-01-02 01:00:00,295
None,252.98,0,0,1,Mist,mist,2013-01-02 02:00:00,243
None,252.58,0,0,1,Clear,sky is clear,2013-01-02 03:00:00,293
None,252.14,0,0,1,Clear,sky is clear,2013-01-02 04:00:00,717
None,250.7,0,0,1,Clear,sky is clear,2013-01-02 05:00:00,2353
None,250.32,0,0,1,Clear,sky is clear,2013-01-02 06:00:00,5366
None,251.1,0,0,1,Clear,sky is clear,2013-01-02 07:00:00,5829
None,251.87,0,0,20,Clouds,few clouds,2013-01-02 08:00:00,5110
None,252.84,0,0,40,Haze,haze,2013-01-02 09:00:00,4417
None,255.38,0,0,20,Haze,haze,2013-01-02 10:00:00,3892
None,257.41,0,0,75,Snow,heavy snow,2013-01-02 11:00:00,4100
None,259.46,0,0,90,Clouds,overcast clouds,2013-01-02 12:00:00,4383
None,260.62,0,0,90,Clouds,overcast clouds,2013-01-02 13:00:00,4370
None,261.13,0,0,90,Snow,heavy snow,2013-01-02 14:00:00,4661
None,261.61,0,0,90,Snow,heavy snow,2013-01-02 15:00:00,4836
None,261.61,0,0,90,Mist,mist,2013-01-02 15:00:00,4836
None,262.18,0,0,90,Snow,heavy snow,2013-01-02 16:00:00,5597
None,262.18,0,0,90,Haze,haze,2013-01-02 16:00:00,5597
None,262.54,0,0,90,Snow,heavy snow,2013-01-02 17:00:00,5191
None,262.54,0,0,90,Haze,haze,2013-01-02 17:00:00,5191
None,263.31,0,0,90,Snow,heavy snow,2013-01-02 18:00:00,3756
None,264.13,0,0,90,Clouds,overcast clouds,2013-01-02 19:00:00,2687
None,264.62,0,0,90,Clouds,overcast clouds,2013-01-02 20:00:00,2240
None,265.29,0,0,90,Clouds,overcast clouds,2013-01-02 21:00:00,1828
None,265.81,0,0,90,Clouds,overcast clouds,2013-01-02 22:00:00,1424
None,266.1,0,0,90,Clouds,overcast clouds,2013-01-02 23:00:00,952
None,258.79,0,0,63,Clouds,broken clouds,2013-01-03 01:00:00,349
None,258.79,0,0,63,Clouds,broken clouds,2013-01-03 02:00:00,276
None,258.79,0,0,63,Clouds,broken clouds,2013-01-03 04:00:00,729
